,fsq_id,categorias,nome,lat,lon,endereco,cidade,bairro,cat_nome,cat_id,cat_sup
204,4d12170b058fa35da65a249f,"[{'id': 11064, 'name': 'Hair Salon', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/salon_barber_', 'suffix': '.png'}}]",The!Cut,-30.039911,-51.220456,"Rua Alberto Torres, 77, Porto Alegre, RS, 90050-080",Porto Alegre,,Hair Salon,11064,Colleges & Universities
205,58e96dc99c95484a514cc9f6,"[{'id': 13018, 'name': 'Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}, {'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",Workroom,-30.041313,-51.220948,"Rua Lopo Goncalves 364 Bairro Cidade Baixa, Porto Alegre, RS, 90050-350",Porto Alegre,Cidade Baixa,Pub,13018,Food
206,4fc94eaae4b02bb39010e9f1,"[{'id': 17052, 'name': ""Women's Store"", 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/apparel_women_', 'suffix': '.png'}}]",Loja de Todos Os Santos,-30.039233,-51.220118,"Rua General Lima e Silva, 749, Porto Alegre, RS, 90050-100",Porto Alegre,,Women's Store,17052,Residences
207,4b719bd1f964a520d9502de3,"[{'id': 10032, 'name': 'Night Club', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/nightclub_', 'suffix': '.png'}}]",Opinião,-30.041821,-51.220968,"Rua José do Patrocínio, 834 (R. Joaquim Nabuco), Porto Alegre, RS, 90050-002",Porto Alegre,,Night Club,10032,Arts & Entertainment
208,4db4ae9d5da3a76f444395d9,"[{'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",Guerreiro Lanches,-30.065161,-51.182612,"Avenida Bento Gonçalves, 3321, Porto Alegre, RS, 90650-003",Porto Alegre,,Fast Food Restaurant,13145,Food
209,4de900be45dde4a28d5dcf3e,"[{'id': 13079, 'name': 'Brazilian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/argentinian_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",Restaurante Sabor Gaúcho,-30.06631,-51.180423,"Rua Tenente Alpoim, Porto Alegre, RS",Porto Alegre,,Brazilian Restaurant,13079,Food
210,50257c29e4b06253f4b41cd8,"[{'id': 13039, 'name': 'Deli', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/deli_', 'suffix': '.png'}}]",Minimercado Carinho,-30.066619,-51.183106,"Rua Silvado, 122 - Partenon, Porto Alegre, RS",Porto Alegre,,Deli,13039,Food
211,4dfea642483b428845fe1c39,"[{'id': 17057, 'name': 'Food and Beverage Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/foodanddrink_', 'suffix': '.png'}}]",Vip Lanches,-30.06705,-51.179708,"Rua Coronel José Rodrigues Sobral, 676, Porto Alegre, RS, 91510-000",Porto Alegre,,Food and Beverage Retail,17057,Residences
212,4dfca3be62846d918b94c096,"[{'id': 13002, 'name': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}]",Panifício Pão Dourado,-30.063489,-51.18596,"Rua Coronel Aparício Borges, 2752 (Bento Gonçalves), Porto Alegre, RS, 90680-570",Porto Alegre,,Bakery,13002,Food
213,53c16835498e933c415f4cb0,"[{'id': 11133, 'name': 'Pet Service', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/pet_store_', 'suffix': '.png'}}, {'id': 17110, 'name': 'Pet Supplies Store', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/pet_store_', 'suffix': '.png'}}]",Farmácia Veterinária,-30.064927,-51.183038,"Avenida Bento Gonçalves, 3271, Porto Alegre, RS, 90650-003",Porto Alegre,,Pet Service,11133,Colleges & Universities
